actual_q,n,actual_mean,pred_mean,bias,mae,pred_over_actual,under_pred_rate
"(306693.869, 2597313.935]",548,1736202.3906751825,1786731.7713686132,50529.38069343065,347667.99627737224,1.0858975941041873,0.4543795620437956
"(2597313.935, 3814032.782]",274,3211583.7089051097,3003802.7372262776,-207780.97167883214,547835.4402919709,0.9362674761715103,0.6605839416058394
"(3814032.782, 5007202.475]",164,4352847.54847561,3867428.76402439,-485418.78445121954,662101.2515243902,0.8898643135404579,0.7682926829268293
"(5007202.475, 6103764.245]",55,5404625.602727273,4673335.085454545,-731290.5172727273,914583.0161818182,0.8667830588012347,0.8363636363636363
"(6103764.245, 7869149.132]",33,6972563.79,5939443.439393939,-1033120.3506060606,1210958.0754545454,0.8533967904663368,0.8181818181818182
"(7869149.132, 8516065.56]",11,8210890.69090909,7070876.363636363,-1140014.3272727272,1140014.3272727272,0.8614025453512423,1.0
"(8516065.56, 11643208.73]",11,9486559.546363637,7609944.545454546,-1876615.0009090907,1995028.8190909089,0.8091373369492694,0.9090909090909091
