gate_type,threshold,selected_rate,gate_weight,raw_weight,lambda_peak,val_MAE,val_peak_p90_MAE,val_local_peak_p90_MAE,val_fast_growth_top10_MAE,objective,objective_local_peak,selected_rate_actual,base_val_MAE,base_val_peak_p90_MAE,chosen_model
prob_hard,0.41833333333333333,0.02,0.1,0.0,0.1,749070.7131712328,1212404.8935135137,1031456.0052941176,957969.4326315789,870311.2025225842,852216.3137006446,0.01643835616438356,749016.6770068492,1211871.8340540542,peakgate_lambda_0.1
rank_hard,0.01,0.15,0.1,0.0,0.1,754706.6468561643,1217680.9785135137,994115.3697058826,910939.0428947369,876474.7447075157,854118.1838267526,0.1506849315068493,749016.6770068492,1211871.8340540542,peakgate_lambda_0.1_local3pct
prob_hard,0.41833333333333333,0.02,0.1,0.0,0.25,749070.7131712328,1212404.8935135137,1031456.0052941176,957969.4326315789,1052171.9365496114,1006934.7144947622,0.01643835616438356,749016.6770068492,1211871.8340540542,peakgate_lambda_0.25
rank_hard,0.01,0.15,0.1,0.0,0.25,754706.6468561643,1217680.9785135137,994115.3697058826,910939.0428947369,1059126.8914845427,1003235.489282635,0.1506849315068493,749016.6770068492,1211871.8340540542,peakgate_lambda_0.25_local3pct
prob_hard,0.41833333333333333,0.02,0.1,0.0,0.5,749070.7131712328,1212404.8935135137,1031456.0052941176,957969.4326315789,1355273.1599279898,1264798.7158182915,0.01643835616438356,749016.6770068492,1211871.8340540542,peakgate_lambda_0.5
rank_hard,0.01,0.15,0.1,0.0,0.5,754706.6468561643,1217680.9785135137,994115.3697058826,910939.0428947369,1363547.1361129212,1251764.3317091055,0.1506849315068493,749016.6770068492,1211871.8340540542,peakgate_lambda_0.5_local3pct
prob_hard,0.41833333333333333,0.02,0.1,0.0,1.0,749070.7131712328,1212404.8935135137,1031456.0052941176,957969.4326315789,1961475.6066847467,1780526.7184653506,0.01643835616438356,749016.6770068492,1211871.8340540542,peakgate_lambda_1
rank_hard,0.01,0.15,0.1,0.0,1.0,754706.6468561643,1217680.9785135137,994115.3697058826,910939.0428947369,1972387.625369678,1748822.016562047,0.1506849315068493,749016.6770068492,1211871.8340540542,peakgate_lambda_1_local3pct
